,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
72336,2020/2021,311,6,2021-01-01,8,5.0,D125,10,ARES,Z Purton,F C Lor,120.0,119.0,1039.0,5,1.75,2.6666666666666665,8.1,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,54.0,69.89,20.82,14.31,14.16,7.93,8.84,8.43,11.04,11.04
72337,2020/2021,311,6,2021-01-01,9,5.0,C483,6,WAR OF COURAGE,A Hamelin,K L Man,123.0,125.0,1226.0,7,3.5,5.0,63.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,33.0,69.98,7.49,7.49,7.05,10.57,7.56,10.73,8.05,8.05
72338,2020/2021,311,6,2021-01-01,10,10.0,E144,9,ACA POWER,M F Poon,Y S Tsui,117.0,121.0,1009.0,3,9.0,10.333333333333334,176.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,33.0,69.98,5.24,4.16,6.51,8.5,5.53,7.87,7.37,6.2
72339,2020/2021,311,6,2021-01-01,11,0.0,E223,5,STOICISM,N Callan,D E Ferraris,125.0,0.0,1006.0,2,0.0,0.0,164.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,45.0,70.01,5.42,8.33,8.33,12.08,4.92,6.56,8.43,6.56
72340,2020/2021,311,6,2021-01-01,12,8.0,D365,13,POISED TO STRIKE,C Wong,D A Hayes,109.0,112.0,1015.0,6,4.25,10.333333333333334,52.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,16.0,70.01,4.76,3.7,4.23,7.41,0.0,0.0,0.0,0.0
72341,2020/2021,311,6,2021-01-01,13,13.0,C323,2,MR ALDAN,C L Chau,A S Cruz,125.0,133.0,1208.0,10,10.5,12.0,31.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,33.0,70.19,7.45,11.7,12.77,6.38,10.87,9.2,10.37,7.36
72342,2020/2021,311,6,2021-01-01,14,14.0,D055,1,INNER FLAME,C Soumillon,D J Whyte,133.0,123.0,1131.0,13,9.0,10.333333333333334,25.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,61.0,70.73,25.0,25.0,0.0,25.0,9.46,8.82,8.17,10.11
72343,2020/2021,312,7,2021-01-01,1,6.0,D428,7,SEA OF LIFE,C Y Ho,K W Lui,125.0,126.0,1124.0,1,4.25,8.333333333333334,9.8,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,33.0,69.26,10.75,9.63,9.31,9.95,12.94,10.27,10.68,6.57
72344,2020/2021,312,7,2021-01-01,2,3.0,C359,13,TRIPLE TRIPLE,M F Poon,F C Lor,113.0,133.0,1105.0,2,0.5,5.75,7.5,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,40.0,69.43,5.24,4.16,6.51,8.5,8.84,8.43,11.04,11.04
72345,2020/2021,312,7,2021-01-01,3,3.0,B220,5,BIG FORTUNE,C Soumillon,D J Whyte,127.0,119.0,1089.0,6,1.75,2.6666666666666665,7.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,33.0,69.53999999999999,25.0,25.0,0.0,25.0,9.46,8.82,8.17,10.11
