,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
173,S Gray,2018/2019,0.0,0.0,0.0,0.0
174,S H Cheong,2016/2017,0.0,0.0,0.0,0.0
175,S H Cheong,2018/2019,0.0,0.0,0.0,0.0
176,S Kirk,2018/2019,0.0,0.0,0.0,0.0
177,Sir M R Stoute,2016/2017,0.0,0.0,0.0,0.0
178,Sir M R Stoute,2017/2018,0.0,0.0,0.0,0.0
179,Sir M R Stoute,2018/2019,0.0,0.0,0.0,0.0
180,Sir M R Stoute,2019/2020,0.0,0.0,0.0,0.0
181,Sir M Todd,2018/2019,0.0,0.0,0.0,0.0
182,T K Ng,2016/2017,0.0,0.0,0.0,0.0
183,T Ozeki,2016/2017,0.0,0.0,0.0,0.0
184,T Ozeki,2019/2020,0.0,0.0,0.0,0.0
185,T P Yung,2016/2017,0.0,0.0,0.0,0.0
186,T P Yung,2017/2018,6.17,9.25,6.17,7.05
187,T P Yung,2018/2019,8.57,6.86,4.86,6.57
188,T P Yung,2019/2020,7.0,10.63,7.49,8.21
189,T P Yung,2020/2021,5.57,6.26,6.26,5.57
190,T Tanaka,2016/2017,0.0,0.0,0.0,0.0
191,T Umeda,2017/2018,0.0,0.0,0.0,0.0
192,T Yasuda,2019/2020,0.0,0.0,0.0,0.0
193,W H Tse,2016/2017,0.0,0.0,0.0,0.0
194,W J Haggas,2018/2019,0.0,0.0,0.0,0.0
195,W J Haggas,2019/2020,0.0,0.0,0.0,0.0
196,W P Mullins,2017/2018,0.0,0.0,0.0,0.0
197,W P Mullins,2019/2020,0.0,0.0,0.0,0.0
198,W Y So,2016/2017,0.0,0.0,0.0,0.0
199,W Y So,2017/2018,11.34,7.09,7.49,8.91
200,W Y So,2018/2019,5.78,10.28,6.64,6.64
201,W Y So,2019/2020,5.43,8.05,6.24,6.64
202,W Y So,2020/2021,7.31,6.6,7.78,7.78
203,Y C Fung,2016/2017,0.0,0.0,0.0,0.0
204,Y Hatakeyama,2018/2019,0.0,0.0,0.0,0.0
205,Y Hatakeyama,2019/2020,100.0,0.0,0.0,0.0
206,Y Ikee,2016/2017,0.0,0.0,0.0,0.0
207,Y Ikee,2017/2018,0.0,0.0,0.0,50.0
208,Y Ikee,2018/2019,0.0,0.0,0.0,0.0
209,Y Ikee,2019/2020,0.0,0.0,0.0,0.0
210,Y S Tsui,2016/2017,0.0,0.0,0.0,0.0
211,Y S Tsui,2017/2018,6.84,6.32,10.7,7.37
212,Y S Tsui,2018/2019,7.69,8.85,7.69,7.69
213,Y S Tsui,2019/2020,7.17,5.7,6.07,8.82
214,Y S Tsui,2020/2021,5.53,7.87,7.37,6.2
215,Y Takahashi,2017/2018,0.0,0.0,0.0,0.0
216,Y Takahashi,2018/2019,0.0,0.0,0.0,100.0
217,Y Tomomichi,2018/2019,0.0,0.0,0.0,0.0
218,Y Tomomichi,2019/2020,0.0,100.0,0.0,0.0
219,Y Yahagi,2018/2019,0.0,0.0,0.0,0.0
220,de Royer Dupre,2016/2017,0.0,0.0,0.0,0.0
221,de Royer Dupre,2019/2020,0.0,0.0,100.0,0.0
