,jockey,season,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j
168,J McDonald,2014/2015,0.0,0.0,16.67,16.67
169,J McDonald,2015/2016,11.11,11.11,11.11,11.11
170,J McDonald,2018/2019,0.0,0.0,0.0,28.57
171,J McDonald,2019/2020,10.53,10.53,10.53,10.53
172,J Moreira,2013/2014,0.0,0.0,0.0,0.0
173,J Moreira,2014/2015,20.21,14.89,12.34,10.85
174,J Moreira,2015/2016,24.41,14.98,10.77,11.95
175,J Moreira,2016/2017,25.45,15.91,15.3,9.24
176,J Moreira,2017/2018,24.05,14.71,11.88,11.03
177,J Moreira,2018/2019,20.33,14.87,11.53,11.23
178,J Moreira,2019/2020,18.35,15.05,10.52,9.07
179,J Moreira,2020/2021,19.22,17.13,12.67,9.47
180,J Murtagh,2013/2014,0.0,0.0,0.0,0.0
181,J Rosario,2015/2016,0.0,0.0,0.0,0.0
182,J Spencer,2013/2014,0.0,0.0,0.0,0.0
183,J Spencer,2014/2015,0.0,0.0,50.0,0.0
184,J Spencer,2019/2020,0.0,0.0,0.0,0.0
185,J Watson,2019/2020,0.0,0.0,0.0,0.0
186,K C Leung,2013/2014,0.0,0.0,0.0,0.0
187,K C Leung,2014/2015,3.67,5.09,6.11,6.31
188,K C Leung,2015/2016,5.68,6.99,7.64,5.9
189,K C Leung,2016/2017,6.55,4.76,7.14,8.13
190,K C Leung,2017/2018,5.41,7.79,5.41,6.49
191,K C Leung,2018/2019,6.72,6.9,7.99,7.44
192,K C Leung,2019/2020,5.32,6.54,8.18,7.36
193,K C Leung,2020/2021,5.19,3.76,6.44,8.94
194,K C Ng,2013/2014,0.0,0.0,0.0,0.0
195,K C Ng,2014/2015,0.67,3.0,4.0,7.0
196,K C Ng,2015/2016,4.1,4.78,3.07,5.8
197,K C Ng,2016/2017,2.06,2.41,4.81,4.12
198,K C Ng,2017/2018,2.0,1.6,2.4,3.2
199,K C Ng,2018/2019,0.73,1.82,2.91,4.36
200,K H Chan,2018/2019,0.0,0.0,0.0,0.0
201,K H Chan,2019/2020,7.96,10.62,8.85,7.96
202,K H Chan,2020/2021,7.1,6.45,9.03,8.06
203,K H Yu,2013/2014,0.0,0.0,0.0,0.0
204,K Ikezoe,2014/2015,0.0,0.0,0.0,0.0
205,K K Chiong,2015/2016,0.0,0.0,0.0,0.0
206,K K Chiong,2016/2017,11.64,12.58,8.18,7.86
207,K Manning,2014/2015,0.0,0.0,0.0,0.0
208,K McEvoy,2013/2014,0.0,0.0,0.0,0.0
209,K McEvoy,2014/2015,20.0,20.0,0.0,0.0
210,K McEvoy,2019/2020,0.0,0.0,0.0,25.0
211,K Teetan,2013/2014,0.0,0.0,0.0,0.0
212,K Teetan,2014/2015,8.71,7.49,6.45,8.71
213,K Teetan,2015/2016,5.62,8.91,9.11,9.3
214,K Teetan,2016/2017,8.17,7.65,8.52,9.57
215,K Teetan,2017/2018,6.36,9.38,8.59,9.22
216,K Teetan,2018/2019,8.84,9.18,11.9,10.2
217,K Teetan,2019/2020,12.35,10.0,10.44,10.15
218,K Teetan,2020/2021,12.93,10.43,11.27,11.27
219,K Tosaki,2015/2016,0.0,0.0,0.0,0.0
220,K Tosaki,2016/2017,16.67,0.0,16.67,0.0
221,K Tosaki,2017/2018,25.0,0.0,0.0,0.0
222,L Corrales,2013/2014,0.0,0.0,0.0,0.0
223,L Corrales,2014/2015,0.0,0.0,0.0,0.0
224,L Corrales,2015/2016,0.0,0.0,0.0,0.0
225,L Corrales,2016/2017,0.0,100.0,0.0,0.0
226,L Corrales,2017/2018,0.0,0.0,0.0,0.0
227,L Dettori,2019/2020,0.0,0.0,0.0,0.0
228,L Henrique,2017/2018,0.0,0.0,0.0,0.0
229,L Hewitson,2019/2020,0.0,0.0,0.0,0.0
230,L Salles,2014/2015,0.0,0.0,0.0,0.0
231,L Salles,2015/2016,0.0,0.0,0.0,0.0
232,M Barzalona,2015/2016,0.0,0.0,0.0,0.0
233,M Barzalona,2016/2017,0.0,0.0,0.0,0.0
234,M Barzalona,2018/2019,0.0,14.29,28.57,28.57
235,M Chadwick,2013/2014,0.0,0.0,0.0,0.0
236,M Chadwick,2014/2015,7.85,7.23,7.02,8.68
237,M Chadwick,2015/2016,4.15,8.55,5.18,8.81
238,M Chadwick,2016/2017,4.21,5.96,5.96,7.72
239,M Chadwick,2017/2018,2.98,6.95,7.28,7.28
240,M Chadwick,2018/2019,4.92,8.29,5.18,9.07
241,M Chadwick,2019/2020,4.46,8.07,9.13,7.43
242,M Chadwick,2020/2021,4.71,8.04,8.24,6.47
243,M Demuro,2013/2014,0.0,0.0,0.0,0.0
244,M Demuro,2014/2015,11.01,8.26,11.93,7.34
245,M Demuro,2015/2016,4.81,11.76,9.09,6.42
246,M Demuro,2016/2017,0.0,0.0,0.0,0.0
247,M Demuro,2017/2018,14.29,0.0,0.0,0.0
248,M Demuro,2018/2019,0.0,0.0,0.0,0.0
249,M Du Plessis,2013/2014,0.0,0.0,0.0,0.0
250,M Ebina,2015/2016,0.0,0.0,0.0,0.0
251,M F Poon,2016/2017,0.0,0.0,0.0,0.0
252,M F Poon,2017/2018,18.18,6.61,19.01,8.26
253,M F Poon,2018/2019,7.74,8.19,11.06,9.29
254,M F Poon,2019/2020,6.79,4.59,9.18,9.98
255,M F Poon,2020/2021,5.24,4.16,6.51,8.5
256,M Guyon,2013/2014,0.0,0.0,0.0,0.0
257,M Guyon,2014/2015,0.0,7.69,7.69,7.69
258,M Guyon,2015/2016,7.84,10.78,5.88,9.8
259,M Guyon,2016/2017,0.0,25.0,0.0,0.0
260,M Guyon,2017/2018,25.0,0.0,0.0,0.0
261,M Guyon,2019/2020,0.0,50.0,50.0,0.0
262,M Harley,2018/2019,0.0,0.0,0.0,0.0
263,M L Yeung,2013/2014,0.0,0.0,0.0,0.0
264,M L Yeung,2014/2015,6.78,5.51,7.2,5.08
265,M L Yeung,2015/2016,5.71,5.51,7.55,6.94
266,M L Yeung,2016/2017,5.86,5.47,6.45,8.4
267,M L Yeung,2017/2018,3.86,5.91,5.4,6.43
268,M L Yeung,2018/2019,5.0,3.7,5.43,7.39
269,M L Yeung,2019/2020,4.33,5.24,7.06,6.61
270,M L Yeung,2020/2021,1.92,3.6,3.84,5.76
271,M Matsuoka,2018/2019,0.0,0.0,0.0,0.0
