,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
203,K L Man,2015/2016,8.6,6.98,5.81,7.67
204,K L Man,2016/2017,7.69,6.76,7.69,7.46
205,K L Man,2017/2018,4.29,6.01,7.08,8.37
206,K L Man,2018/2019,5.03,5.72,6.86,6.86
207,K L Man,2019/2020,5.58,4.91,7.59,8.93
208,K L Man,2020/2021,7.56,10.73,8.05,8.05
209,K Lees,2015/2016,0.0,0.0,0.0,0.0
210,K Nishiura,2018/2019,0.0,0.0,0.0,0.0
211,K Sumii,2013/2014,0.0,0.0,0.0,0.0
212,K Sumii,2017/2018,0.0,0.0,0.0,100.0
213,K W Lui,2013/2014,0.0,0.0,0.0,0.0
214,K W Lui,2014/2015,9.38,9.64,8.07,8.85
215,K W Lui,2015/2016,8.91,6.62,9.41,7.38
216,K W Lui,2016/2017,10.89,8.6,5.73,6.88
217,K W Lui,2017/2018,6.7,9.5,7.26,6.98
218,K W Lui,2018/2019,12.04,8.64,9.69,6.81
219,K W Lui,2019/2020,7.24,10.98,7.94,9.58
220,K W Lui,2020/2021,12.94,10.27,10.68,6.57
221,K Yoshimura,2016/2017,0.0,0.0,0.0,0.0
222,L Ho,2013/2014,0.0,0.0,0.0,0.0
223,L Ho,2014/2015,5.64,6.67,8.72,8.72
224,L Ho,2015/2016,7.8,8.51,7.8,6.74
225,L Ho,2016/2017,8.47,6.51,7.17,6.84
226,L Ho,2017/2018,7.48,8.48,4.99,5.74
227,L Ho,2018/2019,6.85,7.71,7.71,7.07
228,L Ho,2019/2020,7.26,7.26,6.78,9.2
229,L Ho,2020/2021,3.51,6.56,3.98,8.43
230,L Kennewell,2018/2019,0.0,0.0,0.0,0.0
231,L M Cumani,2013/2014,0.0,0.0,0.0,0.0
232,M C Tam,2013/2014,0.0,0.0,0.0,0.0
233,M C Tam,2015/2016,0.0,0.0,0.0,0.0
234,M C Tam,2016/2017,0.0,0.0,0.0,0.0
235,M Delzangles,2013/2014,0.0,0.0,0.0,0.0
236,M Delzangles,2015/2016,0.0,0.0,50.0,0.0
237,M F de Kock,2013/2014,0.0,0.0,0.0,0.0
238,M F de Kock,2015/2016,33.33,0.0,33.33,0.0
239,M Figge,2013/2014,0.0,0.0,0.0,0.0
240,M Hashida,2018/2019,0.0,0.0,0.0,0.0
241,M Hashida,2019/2020,0.0,50.0,0.0,0.0
242,M Hawkes,2015/2016,0.0,0.0,0.0,0.0
243,M J Freedman,2017/2018,0.0,0.0,0.0,0.0
244,M J Freedman,2018/2019,5.38,9.23,7.31,4.62
245,M L W Bell,2016/2017,0.0,0.0,0.0,0.0
246,M Matsunaga,2019/2020,0.0,0.0,0.0,0.0
247,M Pitman,2018/2019,0.0,0.0,0.0,0.0
248,M Saito,2015/2016,0.0,0.0,0.0,0.0
249,M Saito,2016/2017,0.0,50.0,0.0,0.0
250,M Saito,2017/2018,0.0,0.0,0.0,100.0
251,M Sakaguchi,2015/2016,0.0,0.0,0.0,0.0
252,M Sakaguchi,2016/2017,100.0,0.0,0.0,0.0
253,N Hori,2015/2016,0.0,0.0,0.0,0.0
254,N Hori,2016/2017,66.67,0.0,0.0,0.0
255,N Hori,2017/2018,75.0,0.0,0.0,0.0
256,N Sugai,2013/2014,0.0,0.0,0.0,0.0
257,N Takagi,2014/2015,0.0,0.0,0.0,0.0
258,O Hirata,2014/2015,0.0,0.0,0.0,0.0
259,P B Shaw,2016/2017,0.0,0.0,0.0,0.0
260,P Bary,2014/2015,0.0,0.0,0.0,0.0
261,P Bary,2016/2017,0.0,0.0,0.0,0.0
262,P Brandt,2019/2020,0.0,0.0,0.0,0.0
263,P F Yiu,2013/2014,0.0,0.0,0.0,0.0
264,P F Yiu,2014/2015,7.62,9.01,8.78,6.7
265,P F Yiu,2015/2016,6.67,6.67,6.24,9.46
266,P F Yiu,2016/2017,7.34,10.58,9.72,6.7
267,P F Yiu,2017/2018,9.98,9.76,7.54,8.87
268,P F Yiu,2018/2019,8.45,6.52,11.11,8.7
269,P F Yiu,2019/2020,6.94,8.37,8.61,6.46
270,P F Yiu,2020/2021,14.02,9.0,9.21,9.21
271,P Leyshan,2017/2018,0.0,0.0,0.0,0.0
272,P Miller,2017/2018,0.0,0.0,0.0,0.0
273,P O'Sullivan,2013/2014,0.0,0.0,0.0,0.0
274,P O'Sullivan,2014/2015,9.09,6.32,7.51,5.93
275,P O'Sullivan,2015/2016,11.71,9.31,10.21,10.51
276,P O'Sullivan,2016/2017,13.02,10.42,9.38,7.29
277,P O'Sullivan,2017/2018,6.09,8.8,12.87,10.61
278,P O'Sullivan,2018/2019,8.85,9.29,8.63,8.41
279,P O'Sullivan,2019/2020,6.56,9.19,9.45,6.56
280,P O'Sullivan,2020/2021,8.27,7.2,8.0,7.2
281,P Schiergen,2013/2014,0.0,0.0,0.0,0.0
282,P Schiergen,2014/2015,0.0,0.0,0.0,0.0
283,Pat Lee,2015/2016,0.0,0.0,0.0,0.0
284,R Charlton,2014/2015,0.0,0.0,0.0,0.0
285,R Charlton,2019/2020,0.0,0.0,0.0,0.0
286,R Fahey,2016/2017,0.0,0.0,0.0,0.0
287,R Gibson,2013/2014,0.0,0.0,0.0,0.0
288,R Gibson,2014/2015,9.12,6.63,9.39,5.8
289,R Gibson,2015/2016,6.25,10.65,12.04,10.19
290,R Gibson,2016/2017,4.89,9.17,6.42,12.23
291,R Gibson,2017/2018,6.37,6.69,8.92,8.6
292,R Gibson,2018/2019,8.43,7.23,10.54,6.93
293,R Gibson,2019/2020,6.33,9.25,7.3,9.25
294,R Gibson,2020/2021,5.19,3.28,5.74,10.93
295,R Hannon,2015/2016,0.0,0.0,0.0,0.0
296,R Hannon,2017/2018,0.0,0.0,0.0,0.0
297,R Hannon Snr,2013/2014,0.0,0.0,0.0,0.0
298,R Heathcote,2014/2015,0.0,0.0,0.0,0.0
299,R Heathcote,2015/2016,0.0,0.0,0.0,0.0
300,R Hickmott,2016/2017,0.0,0.0,0.0,0.0
301,R M Beckett,2017/2018,0.0,0.0,0.0,0.0
302,R Okubo,2016/2017,0.0,0.0,0.0,0.0
303,R Okubo,2017/2018,0.0,0.0,0.0,0.0
304,R Varian,2014/2015,0.0,0.0,0.0,0.0
305,S Chow,2014/2015,0.0,0.0,0.0,0.0
306,S Gray,2018/2019,0.0,0.0,0.0,0.0
307,S H Cheong,2016/2017,0.0,0.0,0.0,0.0
308,S H Cheong,2018/2019,0.0,0.0,0.0,0.0
309,S Kirk,2018/2019,0.0,0.0,0.0,0.0
310,S Kunieda,2015/2016,0.0,0.0,0.0,0.0
311,S Woods,2013/2014,0.0,0.0,0.0,0.0
