season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,1,12,FAIRY FLOSS,K C Leung,P O'Sullivan,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,114,12,Goo,14,04/11/2020
2020/2021,2,1,GO BALLISTIC,C L Chau,D E Ferraris,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,133,14,Goo,9.4,04/11/2020
2020/2021,2,2,DRAGON COMMANDER,N Callan,Y S Tsui,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,132,12,Goo,11,04/11/2020
2020/2021,2,3,BREAK RECORD,B Shinn,L Ho,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,129,4,Goo,61,04/11/2020
2020/2021,2,4,SMART THINKER,Z Purton,C H Yip,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,129,8,Goo,3.6,04/11/2020
2020/2021,2,5,SWEETLY BABY,C Y Ho,C Fownes,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,129,1,Goo,10,04/11/2020
2020/2021,2,6,SHINEALOT,K Teetan,P O'Sullivan,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,127,6,Goo,5.0,04/11/2020
2020/2021,2,7,JOYFUL CHEERS,A Badel,C S Shum,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,126,13,Goo,63,04/11/2020
2020/2021,2,8,SACRED TIMING,M F Poon,D A Hayes,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,125,10,Goo,24,04/11/2020
2020/2021,2,9,TURF BRILLIANT,T Piccone,W Y So,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,125,5,Goo,7.9,04/11/2020
2020/2021,2,10,JOY AVENUE,K C Leung,C H Yip,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,121,3,Goo,20,04/11/2020
2020/2021,2,11,CHARITYDREAM,M Chadwick,C W Chang,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,119,11,Goo,9.5,04/11/2020
2020/2021,2,12,THE JOY OF GIVING,V Borges,C W Chang,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,119,9,Goo,66,04/11/2020
2020/2021,2,13,PROUD SKY,H T Mo,L Ho,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,113,7,Goo,21,04/11/2020
2020/2021,2,14,FORTUNE BUDDY,M L Yeung,T P Yung,Class 5,ALL WEATHER TRACK - 1650m,Sha Tin,113,2,Goo,30,04/11/2020
2020/2021,3,1,BEAR SLAM,C L Chau,D E Ferraris,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,133,6,Goo,5.1,04/11/2020
2020/2021,3,2,RIGHT CHOICE,Z Purton,F C Lor,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,133,7,Goo,11,04/11/2020
2020/2021,3,3,NABOO STAR,B Shinn,C Fownes,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,130,1,Goo,8.1,04/11/2020
2020/2021,3,4,ELITE PATCH,M F Poon,K W Lui,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,128,4,Goo,8.2,04/11/2020
2020/2021,3,5,CLEAR CHOICE,C Y Ho,C S Shum,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,126,5,Goo,4.9,04/11/2020
2020/2021,3,6,PEACH BLOSSOMS,M Chadwick,D J Hall,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,119,3,Goo,35,04/11/2020
2020/2021,3,7,MORE THAN A HORSE,K Teetan,D J Whyte,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,116,2,Goo,7.7,04/11/2020
2020/2021,3,8,RED ELYSEES,K C Leung,K L Man,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,116,9,Goo,6.4,04/11/2020
2020/2021,3,9,BRAVE KING,A Badel,D J Whyte,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,114,8,Goo,11,04/11/2020
2020/2021,3,10,DEAL MAKER,V Borges,K H Ting,Class 3,ALL WEATHER TRACK - 1800m,Sha Tin,114,10,Goo,12,04/11/2020
2020/2021,4,1,GUNNAR,C L Chau,C Fownes,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,133,11,Goo,4.4,04/11/2020
2020/2021,4,2,HANDSOME REBEL,C Y Ho,Y S Tsui,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,131,10,Goo,10,04/11/2020
2020/2021,4,3,COBY OPPA,M F Poon,D J Hall,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,128,4,Goo,7.1,04/11/2020
2020/2021,4,4,GOLD COMET,C Schofield,A T Millard,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,125,9,Goo,14,04/11/2020
2020/2021,4,5,SMART HUNTER,B Shinn,D J Whyte,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,123,1,Goo,67,04/11/2020
2020/2021,4,6,DOLLAR REWARD,A Hamelin,C S Shum,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,122,2,Goo,8.0,04/11/2020
2020/2021,4,7,APOLAR WARRIOR,V Borges,P F Yiu,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,120,5,Goo,17,04/11/2020
2020/2021,4,8,HEY PAL,M Chadwick,J Size,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,120,12,Goo,19,04/11/2020
2020/2021,4,9,SO HAPPY,H W Lai,K L Man,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,120,6,Goo,29,04/11/2020
2020/2021,4,10,IMPECCABLE FELLOW,M L Yeung,R Gibson,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,117,3,Goo,38,04/11/2020
2020/2021,4,11,STAR SUPERIOR,K Teetan,C W Chang,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,117,7,Goo,4.1,04/11/2020
2020/2021,4,12,WAYFOONG CHARMER,A Badel,P O'Sullivan,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,116,8,Goo,7.5,04/11/2020
2020/2021,5,1,GOLFMAN STAR,K C Leung,F C Lor,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,133,8,Goo,29,04/11/2020
2020/2021,5,2,HERCULES,C L Chau,C H Yip,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,132,9,Goo,7.6,04/11/2020
2020/2021,5,3,GOLDIE FLANKER,T Piccone,K L Man,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,129,5,Goo,14,04/11/2020
2020/2021,5,4,VICTORY IN HAND,C Y Ho,K W Lui,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,128,12,Goo,16,04/11/2020
2020/2021,5,5,SUPER ALLIANCES,M Chadwick,J Size,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,127,6,Goo,5.1,04/11/2020
2020/2021,5,6,RESOLUTE,K Teetan,A T Millard,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,126,7,Goo,2.4,04/11/2020
2020/2021,5,7,CRUCIATUS,B Shinn,C W Chang,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,125,2,Goo,82,04/11/2020
2020/2021,5,8,SPEED TO EXCEED,M F Poon,D J Hall,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,123,11,Goo,49,04/11/2020
2020/2021,5,9,WINNING STRIKES,M L Yeung,P O'Sullivan,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,120,1,Goo,6.8,04/11/2020
2020/2021,5,10,LUCKY TURBO,V Borges,A S Cruz,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,117,3,Goo,18,04/11/2020
2020/2021,5,11,VIVA MAMA,H T Mo,L Ho,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,116,4,Goo,43,04/11/2020
2020/2021,5,12,SKY TREASURE,H N Wong,Y S Tsui,Class 4,ALL WEATHER TRACK - 1200m,Sha Tin,115,10,Goo,17,04/11/2020
2020/2021,6,1,OWNERS' STAR,A Badel,C S Shum,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,133,11,Goo,24,04/11/2020
2020/2021,6,2,PARTY EVERYDAY,K Teetan,A S Cruz,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,133,1,Goo,3.7,04/11/2020
2020/2021,6,3,SKYEY SUPREME,C L Chau,K W Lui,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,133,2,Goo,3.8,04/11/2020
2020/2021,6,4,URBAN DANCER,Z Purton,D A Hayes,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,132,8,Goo,10,04/11/2020
2020/2021,6,5,WEALTHY EMPLOYEE,M L Yeung,K H Ting,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,132,5,Goo,19,04/11/2020
2020/2021,6,6,UNITE SPIRIT,C Schofield,D E Ferraris,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,131,7,Goo,13,04/11/2020
2020/2021,6,7,LONDON LUCKYSTAR,N Callan,D E Ferraris,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,130,6,Goo,13,04/11/2020
2020/2021,6,8,CHUNG WAH SPIRIT,M Chadwick,C H Yip,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,129,10,Goo,7.9,04/11/2020
2020/2021,6,9,CHAIRMAN LO,T Piccone,J Size,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,127,12,Goo,35,04/11/2020
2020/2021,6,10,PARTY GENIUS,A Hamelin,D J Whyte,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,122,4,Goo,23,04/11/2020
2020/2021,6,11,DOUBLE TAKE,C Y Ho,C Fownes,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,118,3,Goo,7.6,04/11/2020
2020/2021,6,12,JOLLY FOREVER,K C Leung,C Fownes,Class 4,ALL WEATHER TRACK - 1650m,Sha Tin,117,9,Goo,43,04/11/2020
2020/2021,7,1,SILVER FIG,A Hamelin,A T Millard,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,133,3,Goo,4.3,04/11/2020
2020/2021,7,2,STAR OF YUEN LONG,C L Chau,K L Man,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,133,6,Goo,5.6,04/11/2020
2020/2021,7,3,HONGKONG GREAT,M Chadwick,C S Shum,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,128,10,Goo,8.7,04/11/2020
2020/2021,7,4,CZARSON,K Teetan,P F Yiu,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,126,7,Goo,4.0,04/11/2020
2020/2021,7,5,HAPPY QIJI,C Schofield,W Y So,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,125,2,Goo,56,04/11/2020
2020/2021,7,6,LUCKY PATCH,M F Poon,K W Lui,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,122,5,Goo,18,04/11/2020
2020/2021,7,7,EIGHT TRIGRAMS,H N Wong,D J Hall,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,119,4,Goo,16,04/11/2020
2020/2021,7,8,ENSHRINED,C Y Ho,C Fownes,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,119,11,Goo,15,04/11/2020
2020/2021,7,9,BLOTTING PAPER,A Badel,R Gibson,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,117,12,Goo,11,04/11/2020
2020/2021,7,10,WISDOM PATCH,M L Yeung,C W Chang,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,117,8,Goo,51,04/11/2020
2020/2021,7,11,PRANCE DRAGON,V Borges,T P Yung,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,115,1,Goo,9.3,04/11/2020
2020/2021,7,12,SUPERB DADDY,H W Lai,D E Ferraris,Class 3,ALL WEATHER TRACK - 1200m,Sha Tin,113,9,Goo,31,04/11/2020
2020/2021,8,1,ELUSIVE STATE,A Badel,A T Millard,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,133,2,Goo,4.3,04/11/2020
2020/2021,8,2,HELENE LEADINGSTAR,K Teetan,A S Cruz,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,133,3,Goo,10,04/11/2020
2020/2021,8,3,KINGS SHIELD,Z Purton,F C Lor,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,129,10,Goo,3.2,04/11/2020
2020/2021,8,4,BEAUTY LEGACY,C Schofield,J Size,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,127,6,Goo,12,04/11/2020
2020/2021,8,5,ASSIMILATE,A Hamelin,K H Ting,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,121,9,Goo,25,04/11/2020
2020/2021,8,6,RIGHTEOUS DOCTRINE,C Y Ho,C W Chang,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,119,7,Goo,7.5,04/11/2020
2020/2021,8,7,ALPHA HEDGE,H N Wong,K W Lui,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,118,4,Goo,34,04/11/2020
2020/2021,8,8,GLORIOUS ARTIST,K C Leung,F C Lor,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,116,11,Goo,19,04/11/2020
2020/2021,8,9,ENRICHMENT,M F Poon,J Size,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,114,8,Goo,20,04/11/2020
2020/2021,8,10,ARROGANT,M L Yeung,C Fownes,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,113,12,Goo,59,04/11/2020
2020/2021,8,11,STAR PERFORMANCE,M Chadwick,A S Cruz,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,113,5,Goo,12,04/11/2020
2020/2021,8,12,TOUCH OF LUCK,V Borges,D J Whyte,Class 2,ALL WEATHER TRACK - 1650m,Sha Tin,113,1,Goo,9.1,04/11/2020
