,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
69664,2020/2021,87,3,2020-10-07,6,10.0,B003,10,CHARITY WINGS,M F Poon,C S Shum,114.0,110.0,1134.0,2,4.75,10.25,35.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,84.0,100.76,5.24,4.16,6.51,8.5,9.49,10.34,5.49,8.23
69665,2020/2021,87,3,2020-10-07,7,5.0,V114,8,MAGNETISM,A Hamelin,D E Ferraris,118.0,120.0,1171.0,3,3.25,5.0,44.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,21.0,100.86,7.49,7.49,7.05,10.57,4.92,6.56,8.43,6.56
69666,2020/2021,87,3,2020-10-07,8,9.0,B271,1,MONICA,K H Chan,D A Hayes,126.0,123.0,1033.0,8,8.5,9.75,89.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,17.0,101.74,7.1,6.45,9.03,8.06,0.0,0.0,0.0,0.0
69667,2020/2021,87,3,2020-10-07,9,2.0,C080,3,JOLLY HONOUR,Z Purton,Y S Tsui,128.0,128.0,1043.0,7,1.25,2.75,5.9,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,21.0,102.12,20.82,14.31,14.16,7.93,5.53,7.87,7.37,6.2
69668,2020/2021,87,3,2020-10-07,10,2.0,C463,2,FLYING SWORD,M Chadwick,A S Cruz,128.0,125.0,1051.0,10,2.0,3.75,6.1,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1650,28.0,102.22,4.71,8.04,8.24,6.47,10.87,9.2,10.37,7.36
69669,2020/2021,88,4,2020-10-07,1,4.0,D125,2,ARES,Z Purton,F C Lor,132.0,133.0,1011.0,10,2.25,6.333333333333333,5.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,140.0,70.76,20.82,14.31,14.16,7.93,8.84,8.43,11.04,11.04
69670,2020/2021,88,4,2020-10-07,2,6.0,C480,4,NAMJONG SINGS,A Badel,C S Shum,128.0,129.0,1210.0,3,2.0,8.666666666666666,4.5,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,70.86,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
69671,2020/2021,88,4,2020-10-07,3,3.0,T372,1,HARRIER JET,A Hamelin,P O'Sullivan,133.0,133.0,1129.0,9,2.25,4.0,16.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,70.97,7.49,7.49,7.05,10.57,8.27,7.2,8.0,7.2
69672,2020/2021,88,4,2020-10-07,4,1.0,C406,3,JAZZ STEED,C Schofield,C Fownes,131.0,129.0,1253.0,2,0.0,3.6666666666666665,2.9,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,71.02,8.78,8.16,8.16,8.37,9.3,10.25,7.78,9.68
69673,2020/2021,88,4,2020-10-07,5,9.0,C039,10,AUTHENTIC CHAMP,C Y Ho,K H Ting,119.0,119.0,1170.0,8,2.5,10.666666666666666,5.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.03,10.75,9.63,9.31,9.95,8.5,4.85,6.07,8.74
69674,2020/2021,88,4,2020-10-07,6,4.0,C472,6,SUPER ALLIANCES,M Chadwick,J Size,127.0,128.0,1037.0,7,4.25,4.333333333333333,20.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,24.0,71.07,4.71,8.04,8.24,6.47,8.49,13.47,9.41,9.04
69675,2020/2021,88,4,2020-10-07,7,6.0,B263,11,DEMONS ROCK,M F Poon,D J Hall,112.0,116.0,1053.0,4,6.0,6.666666666666667,23.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,10.0,71.15,5.24,4.16,6.51,8.5,7.91,5.36,8.93,10.2
69676,2020/2021,88,4,2020-10-07,8,8.0,B027,7,SPLIT OF A SECOND,C L Chau,L Ho,114.0,118.0,1089.0,12,4.5,10.0,47.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,71.15,7.45,11.7,12.77,6.38,3.51,6.56,3.98,8.43
69677,2020/2021,88,4,2020-10-07,9,8.0,C324,5,WINNING FEELING,N Callan,D E Ferraris,128.0,130.0,1332.0,11,6.5,8.333333333333334,26.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.25,5.42,8.33,8.33,12.08,4.92,6.56,8.43,6.56
69678,2020/2021,88,4,2020-10-07,10,9.0,A217,8,ALL BEST FRIENDS,H W Lai,K L Man,122.0,124.0,1074.0,6,4.0,7.666666666666667,79.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,71.33,1.23,2.46,3.08,4.62,7.56,10.73,8.05,8.05
69679,2020/2021,88,4,2020-10-07,11,10.0,D279,9,STAR PRESENT,B Shinn,D A Hayes,122.0,125.0,1102.0,1,18.75,7.333333333333333,36.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,24.0,71.37,3.39,9.71,8.58,7.67,0.0,0.0,0.0,0.0
69680,2020/2021,88,4,2020-10-07,12,9.0,D229,12,RUN THE TABLE,M L Yeung,K W Lui,114.0,118.0,1033.0,5,4.75,9.666666666666666,46.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,71.41,1.92,3.6,3.84,5.76,12.94,10.27,10.68,6.57
69681,2020/2021,89,5,2020-10-07,1,3.0,D225,5,REGENCY MASTER,A Badel,C S Shum,127.0,128.0,1028.0,2,2.75,2.75,3.5,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,24.0,100.41,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
69682,2020/2021,89,5,2020-10-07,2,2.0,A411,6,PLAY WISE,M F Poon,C H Yip,123.0,120.0,1078.0,3,0.33,3.5,6.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,100.58,5.24,4.16,6.51,8.5,4.71,3.44,7.61,6.16
69683,2020/2021,89,5,2020-10-07,3,13.0,B406,1,ZHAN JIANG ROCKS,A Hamelin,W Y So,133.0,113.0,1060.0,11,6.5,12.0,28.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,129.0,100.8,7.49,7.49,7.05,10.57,7.31,6.6,7.78,7.78
69684,2020/2021,89,5,2020-10-07,4,1.0,D118,4,MELBOURNE HALL,B Shinn,D J Hall,127.0,120.0,1022.0,6,0.0,6.666666666666667,24.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,28.0,100.89,3.39,9.71,8.58,7.67,7.91,5.36,8.93,10.2
69685,2020/2021,89,5,2020-10-07,5,2.0,A137,8,STARLIT KNIGHT,H N Wong,Y S Tsui,119.0,119.0,1107.0,1,0.5,1.75,7.5,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,105.0,101.06,1.7,2.83,1.7,3.4,5.53,7.87,7.37,6.2
69686,2020/2021,89,5,2020-10-07,6,6.0,B095,7,PERFECT TO PLAY,M Chadwick,C Fownes,124.0,124.0,1046.0,7,2.25,7.0,26.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,101.07,4.71,8.04,8.24,6.47,9.3,10.25,7.78,9.68
69687,2020/2021,89,5,2020-10-07,7,1.0,C358,11,V CHEVALIERS,C Y Ho,K L Man,117.0,131.0,1105.0,5,0.0,3.0,4.1,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,21.0,101.15,10.75,9.63,9.31,9.95,7.56,10.73,8.05,8.05
69688,2020/2021,89,5,2020-10-07,8,8.0,B436,3,DIONYSUS COLLIN,N Callan,K W Lui,128.0,127.0,1075.0,9,7.0,6.6,46.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,14.0,101.37,5.42,8.33,8.33,12.08,12.94,10.27,10.68,6.57
69689,2020/2021,89,5,2020-10-07,9,4.0,C493,10,GO BALLISTIC,H W Lai,D E Ferraris,118.0,117.0,1129.0,4,3.25,3.8,16.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,14.0,101.5,1.23,2.46,3.08,4.62,4.92,6.56,8.43,6.56
69690,2020/2021,89,5,2020-10-07,10,10.0,B401,2,AMAZING LUCK,Z Purton,P O'Sullivan,129.0,130.0,1204.0,8,7.25,4.25,6.1,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,140.0,102.66,20.82,14.31,14.16,7.93,8.27,7.2,8.0,7.2
69691,2020/2021,89,5,2020-10-07,11,8.0,D249,9,SMART COUSIN,K C Leung,C H Yip,119.0,120.0,1049.0,10,5.5,11.6,45.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1650,87.0,103.34,5.19,3.76,6.44,8.94,4.71,3.44,7.61,6.16
69692,2020/2021,90,6,2020-10-07,1,6.0,D039,11,STOCK LEGEND,C Y Ho,K W Lui,116.0,116.0,1102.0,8,1.25,8.0,6.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,17.0,70.31,10.75,9.63,9.31,9.95,12.94,10.27,10.68,6.57
69693,2020/2021,90,6,2020-10-07,2,6.0,D181,8,HIN YUEN BIS,H N Wong,K H Ting,117.0,120.0,1113.0,3,6.0,2.6666666666666665,12.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,70.42,1.7,2.83,1.7,3.4,8.5,4.85,6.07,8.74
69694,2020/2021,90,6,2020-10-07,3,2.0,C352,3,SIMPLY FLUKE,A Hamelin,D J Whyte,132.0,131.0,1108.0,10,1.75,5.0,19.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,70.7,7.49,7.49,7.05,10.57,9.46,8.82,8.17,10.11
69695,2020/2021,90,6,2020-10-07,4,1.0,D297,2,KINDA COOL,Z Purton,F C Lor,133.0,128.0,1064.0,7,0.0,2.0,2.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,84.0,70.82,20.82,14.31,14.16,7.93,8.84,8.43,11.04,11.04
69696,2020/2021,90,6,2020-10-07,5,9.0,C364,5,GOOD SHOT,M Chadwick,D J Hall,129.0,133.0,1024.0,5,5.0,3.75,32.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,87.0,70.95,4.71,8.04,8.24,6.47,7.91,5.36,8.93,10.2
69697,2020/2021,90,6,2020-10-07,6,9.0,B254,10,PRECIOUS SWEETIE,H T Mo,L Ho,112.0,115.0,1119.0,6,5.25,8.333333333333334,49.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.08,3.43,5.14,3.43,3.43,3.51,6.56,3.98,8.43
69698,2020/2021,90,6,2020-10-07,7,2.0,B466,1,HAPPY GOOD GUYS,C L Chau,P F Yiu,123.0,132.0,1140.0,2,0.1,1.3333333333333333,7.3,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,71.14,7.45,11.7,12.77,6.38,14.02,9.0,9.21,9.21
69699,2020/2021,90,6,2020-10-07,8,10.0,B300,6,AFTER ME,H W Lai,D E Ferraris,125.0,126.0,1059.0,11,4.25,8.666666666666666,155.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,14.0,71.19,1.23,2.46,3.08,4.62,4.92,6.56,8.43,6.56
69700,2020/2021,90,6,2020-10-07,9,13.0,D286,7,HOT CHILI PEPPER,A Badel,C S Shum,125.0,125.0,1204.0,9,8.75,7.0,60.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,10.0,71.27,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
69701,2020/2021,90,6,2020-10-07,10,10.0,A364,12,EVERBRAVE,M L Yeung,K L Man,114.0,118.0,1205.0,1,5.5,9.333333333333334,59.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,28.0,71.41,1.92,3.6,3.84,5.76,7.56,10.73,8.05,8.05
69702,2020/2021,90,6,2020-10-07,11,9.0,C486,9,ONE HAPPY STAR,M F Poon,C H Yip,117.0,121.0,1079.0,12,5.75,9.0,36.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,262.0,71.78,5.24,4.16,6.51,8.5,4.71,3.44,7.61,6.16
